title,description,location,photo_url,price,created_by
Private Oasis with Pool,This is the perfect place for a summertime getaway with friends and family.,"Marrakesh, Morocco",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House1.jpg,400,bryan
Oceanfront Beach View House,Stay as close to the ocean as you can get with waves right outside your door.,"San Diego, California",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House2.jpg,350,francis
Nipa Hut with a Breath-taking View,"Camp under the stars or bright moon, have a bonfire and feel its warmth against the cool breeze.","Boracay, Philippines",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House3.jpg,200,bryan
Modern Palm Springs Oasis,Backyard pool.,"Palm Springs, California",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House4.jpg,400,francis
Serene Lake Cabin,Dive into Lake Life,"Copenhagen, Denmark",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House5.jpg,400,bryan
Tropical Beach House with a Pool,Best view of of the best beach in Cuba.,"Havana, Cuba",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House6+copy.jpg,600,francis
Cabin in the Woods,Great space for travelers that like to be cozy!,"Vancouver, Canada",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House7.jpg,250,bryan
Luxe Cabin with a View,Explore the countryside at this popular 40-acre sanctuary,"Edinburgh, Scotland",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House8.jpg,300,francis
Malibu Oasis Guesthouse,"Kick back and relax in this calm, stylish space. The house features a pool.","Malibu, California",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House9.jpg,1000,bryan
Cabin in the Mountains of Michigan,"Enjoy a comfortable retreat in a historic 1930s cabin overlooking a 350-acre private lake.","Harbor Springs, Michigan",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House10.jpg,500,francis
Oceanfront Beach House with Exceptional Views!,This is the exact definition of direct oceanfront living and has been newly renovated!,"Maui, Hawaii",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House11.jpg,500,bryan
Nirvana Luxury Villa Saltwater Pool & Ocean View,Nirvana Tobago is a luxurious Private Villa on the Caribbean coast with Ocean Views.,"Tobago, Trinidad & Tobago",https://fc-hosted-content.s3.us-west-2.amazonaws.com/share-bnb/House12.jpg,1200,francis
